Samplingpoint,Pollutant,Start,End,Value,Unit
NL/SPO-NL00247_06001_101,6001,2020-01-03 06:00:00,2020-01-03 07:00:00,5.22,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 07:00:00,2020-01-03 08:00:00,5.7629,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 08:00:00,2020-01-03 09:00:00,7.2731,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 09:00:00,2020-01-03 10:00:00,8.8568,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 10:00:00,2020-01-03 11:00:00,11.3754,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 11:00:00,2020-01-03 12:00:00,8.6667,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 12:00:00,2020-01-03 13:00:00,7.0124,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 13:00:00,2020-01-03 14:00:00,6.0413,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 14:00:00,2020-01-03 15:00:00,4.8819,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 15:00:00,2020-01-03 16:00:00,6.0658,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 16:00:00,2020-01-03 17:00:00,5.8433,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 17:00:00,2020-01-03 18:00:00,5.4709,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 18:00:00,2020-01-03 19:00:00,5.7012,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 19:00:00,2020-01-03 20:00:00,5.1161,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 20:00:00,2020-01-03 21:00:00,4.3978,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 21:00:00,2020-01-03 22:00:00,4.8163,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 22:00:00,2020-01-03 23:00:00,9.484,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 23:00:00,2020-01-04 00:00:00,7.6377,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 00:00:00,2020-01-04 01:00:00,7.1457,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 01:00:00,2020-01-04 02:00:00,9.337,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 02:00:00,2020-01-04 03:00:00,6.5783,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 03:00:00,2020-01-04 04:00:00,7.3192,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 04:00:00,2020-01-04 05:00:00,10.317,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 05:00:00,2020-01-04 06:00:00,10.807,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 06:00:00,2020-01-04 07:00:00,11.4146,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 07:00:00,2020-01-04 08:00:00,15.6874,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 08:00:00,2020-01-04 09:00:00,8.7686,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 09:00:00,2020-01-04 10:00:00,7.4074,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 10:00:00,2020-01-04 11:00:00,12.5612,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 11:00:00,2020-01-04 12:00:00,11.4636,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 12:00:00,2020-01-04 13:00:00,11.3166,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 13:00:00,2020-01-04 14:00:00,11.1108,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 14:00:00,2020-01-04 15:00:00,8.113,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 15:00:00,2020-01-04 16:00:00,10.2778,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 16:00:00,2020-01-04 17:00:00,12.9434,ug.m-3
